    S0C         S1C         S0U         S1U          EC           EU           OC           OU          MC         MU       CCSC      CCSU     YGC     YGCT     FGC    FGCT     CGC    CGCT       GCT   
     8704.0      8704.0         0.0         0.0      69952.0       9793.6     174784.0        920.0        0.0        0.0       0.0       0.0      0     0.000     0     0.000     -         -     0.000
     8704.0      8704.0         0.0         0.0      69952.0       9793.6     174784.0        920.0        0.0        0.0       0.0       0.0      0     0.000     0     0.000     -         -     0.000
     8704.0      8704.0         0.0         0.0      69952.0       9793.6     174784.0        920.0        0.0        0.0       0.0       0.0      0     0.000     0     0.000     -         -     0.000
     8704.0      8704.0    178816.0    178816.0      69952.0     178816.0     179008.0     178816.0     1536.0     1383.4     192.0     117.7      4     0.356     1     0.000     -         -     0.356
    28160.0     28160.0    611784.0    611784.0     225792.0     611784.0     628488.0     628296.0     1536.0     1383.4     192.0     117.7      8     1.094     2     0.654     -         -     1.748
    52352.0     52352.0         0.0     52352.0     419008.0     341687.7    1047332.0     889805.3     1536.0     1383.4     192.0     117.7      9     2.140     3     1.426     -         -     3.566
    52352.0     52352.0   1181540.0   1181540.0     419008.0    1181540.0    1181732.0    1181540.0     1536.0     1383.4     192.0     117.7     10     2.695     4     1.426     -         -     4.120
    98048.0     98048.0   1176774.1   1176774.1     784576.0    1176774.1    1961292.0    1176774.1     1536.0     1383.4     192.0     117.7     11     2.695     4     3.443     -         -     6.137
    98048.0     98048.0   1644651.6   1644651.6     784576.0    1644651.6    1961292.0    1644651.6     1536.0     1383.4     192.0     117.7     12     4.772     4     3.443     -         -     8.215
    98048.0     98048.0   2185548.0   2185548.0     784576.0    2185548.0    2185740.0    2185548.0     1536.0     1383.4     192.0     117.7     12     6.006     5     3.443     -         -     9.448
    98048.0     98048.0   2185548.0   2185548.0     784576.0    2185548.0    2185740.0    2185548.0     1536.0     1383.4     192.0     117.7     12     6.006     5     3.443     -         -     9.448
   139776.0    139776.0   2185734.3   2185734.3    1118528.0    2185734.3    2796224.0    2185734.3     1536.0     1383.4     192.0     117.7     13     6.006     5     6.875     -         -    12.881
   139776.0    139776.0   2185734.3   2185734.3    1118528.0    2185734.3    2796224.0    2185734.3     1536.0     1383.4     192.0     117.7     13     8.826     6     6.875     -         -    15.701
   139776.0    139776.0   2185734.3   2185734.3    1118528.0    2185734.3    2796224.0    2185734.3     1536.0     1383.4     192.0     117.7     13     8.826     6     6.875     -         -    15.701
   139776.0    139776.0         0.0         0.0    1118528.0     233274.1    2796224.0    2796224.0     1536.0     1383.4     192.0     117.7     13     8.826     6    10.929     -         -    19.755
   139776.0    139776.0   2796224.0   2796224.0    1118528.0    2796224.0    2796224.0    2796224.0     1536.0     1383.4     192.0     117.7     13     8.826     7    10.929     -         -    19.755
   139776.0    139776.0   2796224.0   2796224.0    1118528.0    2796224.0    2796224.0    2796224.0     1536.0     1383.4     192.0     117.7     13     8.826     7    10.929     -         -    19.755
   139776.0    139776.0         0.0         0.0    1118528.0     976000.3    2796224.0    2796224.0     1536.0     1383.4     192.0     117.7     13     8.826     7    15.752     -         -    24.578
   139776.0    139776.0   2796224.0   2796224.0    1118528.0    2796224.0    2796224.0    2796224.0     1536.0     1383.4     192.0     117.7     13     8.826     8    15.752     -         -    24.578
   139776.0    139776.0   2796224.0   2796224.0    1118528.0    2796224.0    2796224.0    2796224.0     1536.0     1383.4     192.0     117.7     13     8.826     8    15.752     -         -    24.578
